     X      Y Temperature
 0.030  1.740 317.292
 0.030  1.755 317.292
 0.030  1.770 317.292
 0.030  1.785 317.292
 0.030  1.800 317.292
 0.030  1.815 317.292
 0.030  1.830 317.292
 0.030  1.845 317.292
 0.030  1.860 317.292
 0.030  1.875 317.292
 0.030  1.890 317.292
 0.030  1.905 317.292
 0.030  1.920 317.292
 0.030  1.935 317.292
 0.030  1.950 317.292
 0.030  1.965 317.292
 0.030  1.980 317.292
 0.030  1.995 317.292
 0.030  2.010 317.292
 0.030  2.025 317.292
 0.030  2.040 317.292
 0.030  2.055 317.292
 0.030  2.070 317.292
 0.030  2.085 317.292
 0.030  2.100 317.292
 0.030  2.115 317.292
 0.030  2.130 317.292
 0.030  2.145 317.292
 0.030  2.160 317.292
 0.030  2.175 317.292
 0.030  2.190 317.292
 0.030  2.205 317.292
 0.030  2.220 317.292
 0.030  2.235 317.292
 0.030  2.250 317.292
 0.030  2.265 317.292
 0.030  2.280 317.292
 0.030  2.295 317.292
 0.030  2.310 317.292
 0.030  2.325 317.292
 0.030  2.340 317.292
 0.030  2.355 317.292
 0.030  2.370 317.292
 0.030  2.385 317.292
 0.030  2.400 317.292
 0.030  2.415 317.292
 0.030  2.430 317.292
 0.030  2.445 317.292
 0.030  2.460 317.292
 0.030  2.475 317.292
 0.030  2.490 317.292
 0.030  2.505 317.292
 0.030  2.520 317.292
 0.030  2.535 317.292
 0.030  2.550 317.292
 0.030  2.565 317.292
 0.030  2.580 317.292
 0.030  2.595 317.292
 0.030  2.610 317.292
 0.030  2.625 317.292
 0.030  2.640 317.292
 0.030  2.655 317.292
 0.030  2.670 317.292
 0.030  2.685 317.292
 0.030  2.700 317.292
 0.030  2.715 317.292
 0.030  2.730 317.292
 0.030  2.745 317.292
 0.030  2.760 317.292
 0.030  2.775 317.292
 0.030  2.790 317.292
 0.030  2.805 317.292
 0.030  2.820 317.292
 0.030  2.835 317.292
 0.030  2.850 317.292
 0.030  2.865 317.292
 0.030  2.880 317.292
 0.030  2.895 317.292
 0.030  2.910 317.292
 0.030  2.925 317.292
 0.030  2.940 317.292
 0.030  2.955 317.292
 0.030  2.970 317.292
 0.030  2.985 317.292
 0.030  3.000 317.292
 0.045  0.000 317.271
 0.045  0.015 317.271
 0.045  0.030 317.271
 0.045  0.045 317.271
 0.045  0.060 317.271
 0.045  0.075 317.271
 0.045  0.090 317.271
 0.045  0.105 317.271
 0.045  0.120 317.271
 0.045  0.135 317.271
 0.045  0.150 317.271
 0.045  0.165 317.271
 0.045  0.180 317.271
 0.045  0.195 317.271
 0.045  0.210 317.271
 0.045  0.225 317.271
 0.045  0.240 317.271
 0.045  0.255 317.271
 0.045  0.270 317.271
 0.045  0.285 317.271
 0.045  0.300 317.271
 0.045  0.315 317.271
 0.045  0.330 317.271
 0.045  0.345 317.271
 0.045  0.360 317.271
 0.045  0.375 317.271
 0.045  0.390 317.271
 0.045  0.405 317.271
 0.045  0.420 317.271
 0.045  0.435 317.271
 0.045  0.450 317.271
 0.045  0.465 317.271
 0.045  0.480 317.271
 0.045  0.495 317.271
 0.045  0.510 317.271
 0.045  0.525 317.271
 0.045  0.540 317.271
 0.045  0.555 317.271
 0.045  0.570 317.271
 0.045  0.585 317.271
 0.045  0.600 317.271
 0.045  0.615 317.271
 0.045  0.630 317.271
 0.045  0.645 317.271
 0.045  0.660 317.271
 0.045  0.675 317.271
 0.045  0.690 317.271
 0.045  0.705 317.271
 0.045  0.720 317.271
 0.045  0.735 317.271
 0.045  0.750 317.271
 0.045  0.765 317.271
 0.045  0.780 317.271
 0.045  0.795 317.271
 0.045  0.810 317.271
 0.045  0.825 317.271
 0.045  0.840 317.271
 0.045  0.855 317.271
 0.045  0.870 317.271
 0.045  0.885 317.271
 0.045  0.900 317.271
 0.045  0.915 317.271
 0.045  0.930 317.271
 0.045  0.945 317.271
 0.045  0.960 317.271
 0.045  0.975 317.271
 0.045  0.990 317.271
 0.045  1.005 317.271
 0.045  1.020 317.271
 0.045  1.035 317.271
 0.045  1.050 317.271
 0.045  1.065 317.271
 0.045  1.080 317.271
 0.045  1.095 317.271
 0.045  1.110 317.271
 0.045  1.125 317.271
 0.045  1.140 317.271
 0.045  1.155 317.271
 0.045  1.170 317.271
 0.045  1.185 317.271
 0.045  1.200 317.271
 0.045  1.215 317.271
 0.045  1.230 317.271
 0.045  1.245 317.271
 0.045  1.260 317.271
 0.045  1.275 317.271
 0.045  1.290 317.271
 0.045  1.305 317.271
 0.045  1.320 317.271
 0.045  1.335 317.271
 0.045  1.350 317.271
 0.045  1.365 317.271
 0.045  1.380 317.271
 0.045  1.395 317.271
 0.045  1.410 317.271
 0.045  1.425 317.271
 0.045  1.440 317.271
 0.045  1.455 317.271
 0.045  1.470 317.271
 0.045  1.485 317.271
 0.045  1.500 317.271
 0.045  1.515 317.271
 0.045  1.530 317.271
 0.045  1.545 317.271
 0.045  1.560 317.271
 0.045  1.575 317.271
 0.045  1.590 317.271
 0.045  1.605 317.271
 0.045  1.620 317.271
 0.045  1.635 317.271
 0.045  1.650 317.271
 0.045  1.665 317.271
 0.045  1.680 317.271
 0.045  1.695 317.271
 0.045  1.710 317.271
 0.045  1.725 317.271
 0.045  1.740 317.271
 0.045  1.755 317.271
 0.045  1.770 317.271
 0.045  1.785 317.271
 0.045  1.800 317.271
 0.045  1.815 317.271
 0.045  1.830 317.271
 0.045  1.845 317.271
 0.045  1.860 317.271
 0.045  1.875 317.271
 0.045  1.890 317.271
 0.045  1.905 317.271
 0.045  1.920 317.271
 0.045  1.935 317.271
 0.045  1.950 317.271
 0.045  1.965 317.271
 0.045  1.980 317.271
 0.045  1.995 317.271
 0.045  2.010 317.271
 0.045  2.025 317.271
 0.045  2.040 317.271
 0.045  2.055 317.271
 0.045  2.070 317.271
 0.045  2.085 317.271
 0.045  2.100 317.271
 0.045  2.115 317.271
 0.045  2.130 317.271
 0.045  2.145 317.271
 0.045  2.160 317.271
 0.045  2.175 317.271
 0.045  2.190 317.271
 0.045  2.205 317.271
 0.045  2.220 317.271
 0.045  2.235 317.271
 0.045  2.250 317.271
 0.045  2.265 317.271
 0.045  2.280 317.271
 0.045  2.295 317.271
 0.045  2.310 317.271
 0.045  2.325 317.271
 0.045  2.340 317.271
 0.045  2.355 317.271
 0.045  2.370 317.271
 0.045  2.385 317.271
 0.045  2.400 317.271
 0.045  2.415 317.271
 0.045  2.430 317.271
 0.045  2.445 317.271
 0.045  2.460 317.271
 0.045  2.475 317.271
 0.045  2.490 317.271
 0.045  2.505 317.271
 0.045  2.520 317.271
 0.045  2.535 317.271
 0.045  2.550 317.271
 0.045  2.565 317.271
 0.045  2.580 317.271
 0.045  2.595 317.271
 0.045  2.610 317.271
 0.045  2.625 317.271
 0.045  2.640 317.271
 0.045  2.655 317.271
 0.045  2.670 317.271
 0.045  2.685 317.271
 0.045  2.700 317.271
 0.045  2.715 317.271
 0.045  2.730 317.271
 0.045  2.745 317.271
 0.045  2.760 317.271
 0.045  2.775 317.271
 0.045  2.790 317.271
 0.045  2.805 317.271
 0.045  2.820 317.271
 0.045  2.835 317.271
 0.045  2.850 317.271
 0.045  2.865 317.271
 0.045  2.880 317.271
 0.045  2.895 317.271
 0.045  2.910 317.271
 0.045  2.925 317.271
 0.045  2.940 317.271
 0.045  2.955 317.271
 0.045  2.970 317.271
 0.045  2.985 317.271
 0.045  3.000 317.271
 0.060  0.000 317.250
 0.060  0.015 317.250
 0.060  0.030 317.250
 0.060  0.045 317.250
 0.060  0.060 317.250
 0.060  0.075 317.250
 0.060  0.090 317.250
 0.060  0.105 317.250
 0.060  0.120 317.250
 0.060  0.135 317.250
 0.060  0.150 317.250
 0.060  0.165 317.250
 0.060  0.180 317.250
 0.060  0.195 317.250
 0.060  0.210 317.250
 0.060  0.225 317.250
 0.060  0.240 317.250
 0.060  0.255 317.250
 0.060  0.270 317.250
 0.060  0.285 317.250
 0.060  0.300 317.250
 0.060  0.315 317.250
 0.060  0.330 317.250
 0.060  0.345 317.250
 0.060  0.360 317.250
 0.060  0.375 317.250
 0.060  0.390 317.250
 0.060  0.405 317.250
 0.060  0.420 317.250
 0.060  0.435 317.250
 0.060  0.450 317.250
 0.060  0.465 317.250
 0.060  0.480 317.250
 0.060  0.495 317.250
 0.060  0.510 317.250
 0.060  0.525 317.250
 0.060  0.540 317.250
 0.060  0.555 317.250
 0.060  0.570 317.250
 0.060  0.585 317.250
 0.060  0.600 317.250
 0.060  0.615 317.250
 0.060  0.630 317.250
 0.060  0.645 317.250
 0.060  0.660 317.250
 0.060  0.675 317.250
 0.060  0.690 317.250
 0.060  0.705 317.250
 0.060  0.720 317.250
 0.060  0.735 317.250
 0.060  0.750 317.250
 0.060  0.765 317.250
 0.060  0.780 317.250
 0.060  0.795 317.250
 0.060  0.810 317.250
 0.060  0.825 317.250
 0.060  0.840 317.250
 0.060  0.855 317.250
 0.060  0.870 317.250
 0.060  0.885 317.250
